id,Year,name,length,capex,transformer_capex,fom,vom,lifetime,initial_capacity_lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
0,2025,APB1-APB2,140,224,224000,2.24,0,50,50,0.03,APB1,APB2,0.03,0,2000,0,hvdc,default,TRUE,HVDC
1,2025,APB2-APB3,370,224,224000,2.24,0,50,50,0.03,APB2,APB3,0.03,0,2000,0,hvdc,default,TRUE,HVDC
2,2025,APB3-APB4,310,224,224000,2.24,0,50,50,0.03,APB3,APB4,0.03,0,2000,0,hvdc,default,TRUE,HVDC
3,2025,APB4-APB5,370,224,224000,2.24,0,50,50,0.03,APB4,APB5,0.03,0,2000,0,hvdc,default,TRUE,HVDC
4,2025,pv_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
5,2025,wind_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
6,2025,other_connections,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
7,2025,phes_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
8,2025,bess_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
9,2026,APB1-APB2,140,224,224000,2.24,0,50,50,0.03,APB1,APB2,0.03,0,2000,0,hvdc,default,TRUE,HVDC
10,2026,APB2-APB3,370,224,224000,2.24,0,50,50,0.03,APB2,APB3,0.03,0,2000,0,hvdc,default,TRUE,HVDC
11,2026,APB3-APB4,310,224,224000,2.24,0,50,50,0.03,APB3,APB4,0.03,0,2000,0,hvdc,default,TRUE,HVDC
12,2026,APB4-APB5,370,224,224000,2.24,0,50,50,0.03,APB4,APB5,0.03,0,2000,0,hvdc,default,TRUE,HVDC
13,2026,pv_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
14,2026,wind_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
15,2026,other_connections,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
16,2026,phes_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
17,2026,bess_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
18,2027,APB1-APB2,140,224,224000,2.24,0,50,50,0.03,APB1,APB2,0.03,0,2000,0,hvdc,default,TRUE,HVDC
19,2027,APB2-APB3,370,224,224000,2.24,0,50,50,0.03,APB2,APB3,0.03,0,2000,0,hvdc,default,TRUE,HVDC
20,2027,APB3-APB4,310,224,224000,2.24,0,50,50,0.03,APB3,APB4,0.03,0,2000,0,hvdc,default,TRUE,HVDC
21,2027,APB4-APB5,370,224,224000,2.24,0,50,50,0.03,APB4,APB5,0.03,0,2000,0,hvdc,default,TRUE,HVDC
22,2027,pv_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
23,2027,wind_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
24,2027,other_connections,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
25,2027,phes_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
26,2027,bess_connection,10,1050,0,10.5,0,50,50,0.03,,,0.07,0,0,0,0,default,,
