id,Year,name,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,initial_capacity_lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,line,unit_type,scenarios,near_optimum,range_group
0,2025,phes_apb1,0,0,0,357,32,8,0.3,60,60,0.03,APB1,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
1,2025,phes_apb2,0,0,0,357,32,8,0.3,60,60,0.03,APB2,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
2,2025,phes_apb3,0,0,0,357,32,8,0.3,60,60,0.03,APB3,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
3,2025,phes_apb4,0,0,0,357,32,8,0.3,60,60,0.03,APB4,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
4,2025,phes_apb5,0,0,0,357,32,8,0.3,60,60,0.03,APB5,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
5,2025,bess_apb1,0,0,4,1388,0,16,0,15,15,0.03,APB1,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
6,2025,bess_apb2,0,0,4,1388,0,16,0,15,15,0.03,APB2,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
7,2025,bess_apb3,0,0,4,1388,0,16,0,15,15,0.03,APB3,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
8,2025,bess_apb4,0,0,4,1388,0,16,0,15,15,0.03,APB4,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
9,2025,bess_apb5,0,0,4,1388,0,16,0,15,15,0.03,APB5,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
10,2026,phes_apb1,0,0,0,357,32,8,0.3,60,60,0.03,APB1,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
11,2026,phes_apb2,0,0,0,357,32,8,0.3,60,60,0.03,APB2,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
12,2026,phes_apb3,0,0,0,357,32,8,0.3,60,60,0.03,APB3,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
13,2026,phes_apb4,0,0,0,357,32,8,0.3,60,60,0.03,APB4,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
14,2026,phes_apb5,0,0,0,357,32,8,0.3,60,60,0.03,APB5,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
15,2026,bess_apb1,0,0,4,1388,0,16,0,15,15,0.03,APB1,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
16,2026,bess_apb2,0,0,4,1388,0,16,0,15,15,0.03,APB2,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
17,2026,bess_apb3,0,0,4,1388,0,16,0,15,15,0.03,APB3,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
18,2026,bess_apb4,0,0,4,1388,0,16,0,15,15,0.03,APB4,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
19,2026,bess_apb5,0,0,4,1388,0,16,0,15,15,0.03,APB5,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
20,2027,phes_apb1,0,0,0,357,32,8,0.3,60,60,0.03,APB1,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
21,2027,phes_apb2,0,0,0,357,32,8,0.3,60,60,0.03,APB2,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
22,2027,phes_apb3,0,0,0,357,32,8,0.3,60,60,0.03,APB3,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
23,2027,phes_apb4,0,0,0,357,32,8,0.3,60,60,0.03,APB4,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
24,2027,phes_apb5,0,0,0,357,32,8,0.3,60,60,0.03,APB5,0.8,1,2000,10000,0,0,phes_connection,phes,default,TRUE,PHES
25,2027,bess_apb1,0,0,4,1388,0,16,0,15,15,0.03,APB1,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
26,2027,bess_apb2,0,0,4,1388,0,16,0,15,15,0.03,APB2,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
27,2027,bess_apb3,0,0,4,1388,0,16,0,15,15,0.03,APB3,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
28,2027,bess_apb4,0,0,4,1388,0,16,0,15,15,0.03,APB4,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
29,2027,bess_apb5,0,0,4,1388,0,16,0,15,15,0.03,APB5,0.9,1,2000,0,0,0,bess_connection,bess,default,TRUE,Battery
