Year,Energy (TWh),Peak Load (GW),Load Factor
2025,251.145,34.342,0.834823847
2026,267.0011614,36.50296215,0.83498935
2027,284.0223912,38.822922,0.835141863
2028,302.1287184,40.917072,0.842914168
2029,321.3893175,43.53333247,0.842762917
2030,341.8777731,46.31488351,0.84264798
2031,363.6723604,49.27417593,0.842532805
2032,386.856345,51.85265611,0.851676395
2033,411.5183005,54.786412,0.85745668
2034,437.7524468,58.31851968,0.856876011
2035,465.6590108,62.03630472,0.856876011
2036,495.3446084,65.99109725,0.856876011
2037,526.9226523,70.19800641,0.856876011
2038,560.5137854,74.67310454,0.856876011
2039,596.2463414,79.43348859,0.856876011
2040,634.2568352,84.49734545,0.856876011
2041,674.6904845,89.88402139,0.856876011
2042,717.7017647,95.61409603,0.856876011
2043,763.4549989,101.7094609,0.856876011
2044,812.1249856,108.1934031,0.856876011
2045,863.8976667,115.0906944,0.856876011
2046,918.970838,122.4276855,0.856876011
2047,977.5549046,130.2324073,0.856876011
2048,1039.873685,138.5346773,0.856876011
2049,1106.165265,147.366214,0.856876011
2050,1176.68291,156.7607582,0.856876011
2051,1251.69603,166.7542012,0.856876011
2052,1331.49121,177.3847226,0.856876011
2053,1416.373305,188.6929361,0.856876011
2054,1506.666603,200.7220441,0.856876011
2055,1602.716067,213.5180036,0.856876011
2056,1704.888651,227.129701,0.856876011
2057,1813.574701,241.6091392,0.856876011
2058,1929.189448,257.0116366,0.856876011
2059,2052.174594,273.3960377,0.856876011
2060,2183,290.8249386,0.856876011
