Year,Month,Day,Interval,APB1,APB2,APB3,APB4,APB5,Sumatera,Kalimantan,Lombok
2060,1,1,1,98805.59932,51809.01511,36169.07105,51745.21443,6812.938378,0,0,0
2060,1,1,2,95663.28578,50668.25211,34065.1265,50591.15239,6580.074613,0,0,0
2060,1,1,3,93540.39226,49614.23718,32969.21521,49382.06879,6374.938934,0,0,0
2060,1,1,4,92393.54474,47961.41728,32101.30006,48669.39614,6357.902242,0,0,0
2060,1,1,5,88692.41031,47174.42642,31679.46808,48314.66788,6517.143159,0,0,0
2060,1,1,6,88271.6214,47834.94592,32820.66569,49579.64226,6635.270019,0,0,0
2060,1,1,7,89658.37337,49929.24214,35371.0411,50462.94259,6799.465484,0,0,0
2060,1,1,8,91722.33384,48789.26144,33141.14672,47887.44675,7513.528878,0,0,0
2060,1,1,9,95633.38465,49419.18444,33759.94372,49612.3249,7962.741247,0,0,0
2060,1,1,10,102448.2353,52696.9223,35863.80134,52668.7596,8195.083481,0,0,0
2060,1,1,11,107792.8021,52860.50931,36244.25849,54036.30183,8179.611383,0,0,0
2060,1,1,12,110770.5724,53169.25589,36850.71257,54586.51744,8050.271599,0,0,0
2060,1,1,13,109634.4163,52607.74043,36877.04991,54174.24688,8229.765319,0,0,0
2060,1,1,14,105990.3027,49949.58186,35682.91687,52002.76402,8248.627371,0,0,0
2060,1,1,15,110095.1024,53333.45136,37568.51361,54790.17545,8153.621736,0,0,0
2060,1,1,16,109851.2865,52683.4494,36975.09781,54336.35622,7912.152703,0,0,0
2060,1,1,17,110182.5458,52403.47397,36377.85745,53188.7264,7676.159749,0,0,0
2060,1,1,18,105983.7835,51965.12684,35808.25825,52513.86478,8554.157843,0,0,0
2060,1,1,19,103006.3608,53276.8652,38601.75421,56107.04221,8710.704181,0,0,0
2060,1,1,20,100579.4145,55539.52913,42350.26107,56306.44104,8699.491256,0,0,0
2060,1,1,21,100846.1778,55576.47094,42623.02199,56903.42064,8312.514966,0,0,0
2060,1,1,22,102860.0713,55484.50757,41615.07565,56130.85881,7772.295369,0,0,0
2060,1,1,23,101963.5588,54247.95665,39517.30256,54552.53098,7343.422723,0,0,0
2060,1,1,24,100684.2423,52908.92481,37512.01437,53528.15641,7073.008698,0,0,0
2060,1,2,1,98783.86885,51797.8891,36161.16115,51733.74074,6851.792467,0,0,0
2060,1,2,2,96189.51095,50945.61989,34257.31082,50872.43165,6618.059483,0,0,0
2060,1,2,3,94061.22827,49888.82345,33157.74881,49660.13194,6411.88074,0,0,0
2060,1,2,4,92909.16544,48232.78745,32285.6614,48945.46009,6394.757126,0,0,0
2060,1,2,5,89196.55732,47443.18893,31862.5256,48589.60184,6554.693419,0,0,0
2060,1,2,6,88774.89919,48106.48993,33009.02544,49857.61849,6673.254888,0,0,0
2060,1,2,7,90167.82261,50209.7391,35566.00692,50742.30957,6838.406495,0,0,0
2060,1,2,8,92243.08293,49066.19461,33330.3757,48160.90304,7556.294452,0,0,0
