Year-month,hydro_apb2,hydro_apb4,micro_hydro_apb1,micro_hydro_apb2,micro_hydro_apb3,micro_hydro_apb4,micro_hydro_apb5
205901,0.45,0.26,0.9226,0.9226,0.9226,0.9226,0.9226
205902,0.45,0.29,0.9226,0.9226,0.9226,0.9226,0.9226
205903,0.55,0.38,0.9226,0.9226,0.9226,0.9226,0.9226
205904,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
205905,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
205906,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
205907,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
205908,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
205909,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
205910,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
205911,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
205912,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
