Year-month,hydro_apb2,hydro_apb4
202501,0.45,0.26
202502,0.45,0.29
202503,0.55,0.38
202504,0.55,0.36
202505,0.38,0.28
202506,0.3,0.23
202507,0.26,0.19
202508,0.24,0.17
202509,0.23,0.17
202510,0.25,0.21
202511,0.31,0.24
202512,0.39,0.31
202601,0.45,0.26
202602,0.45,0.29
202603,0.55,0.38
202604,0.55,0.36
202605,0.38,0.28
202606,0.3,0.23
202607,0.26,0.19
202608,0.24,0.17
202609,0.23,0.17
202610,0.25,0.21
202611,0.31,0.24
202612,0.39,0.31
202701,0.45,0.26
202702,0.45,0.29
202703,0.55,0.38
202704,0.55,0.36
202705,0.38,0.28
202706,0.3,0.23
202707,0.26,0.19
202708,0.24,0.17
202709,0.23,0.17
202710,0.25,0.21
202711,0.31,0.24
202712,0.39,0.31
202801,0.45,0.26
202802,0.45,0.29
202803,0.55,0.38
202804,0.55,0.36
202805,0.38,0.28
202806,0.3,0.23
202807,0.26,0.19
202808,0.24,0.17
202809,0.23,0.17
202810,0.25,0.21
202811,0.31,0.24
202812,0.39,0.31
202901,0.45,0.26
202902,0.45,0.29
202903,0.55,0.38
202904,0.55,0.36
202905,0.38,0.28
202906,0.3,0.23
202907,0.26,0.19
202908,0.24,0.17
202909,0.23,0.17
202910,0.25,0.21
202911,0.31,0.24
202912,0.39,0.31
203001,0.45,0.26
203002,0.45,0.29
203003,0.55,0.38
203004,0.55,0.36
203005,0.38,0.28
203006,0.3,0.23
203007,0.26,0.19
203008,0.24,0.17
203009,0.23,0.17
203010,0.25,0.21
203011,0.31,0.24
203012,0.39,0.31
203101,0.45,0.26
203102,0.45,0.29
203103,0.55,0.38
203104,0.55,0.36
203105,0.38,0.28
203106,0.3,0.23
203107,0.26,0.19
203108,0.24,0.17
203109,0.23,0.17
203110,0.25,0.21
203111,0.31,0.24
203112,0.39,0.31
203201,0.45,0.26
203202,0.45,0.29
203203,0.55,0.38
203204,0.55,0.36
203205,0.38,0.28
203206,0.3,0.23
203207,0.26,0.19
203208,0.24,0.17
203209,0.23,0.17
203210,0.25,0.21
203211,0.31,0.24
203212,0.39,0.31
203301,0.45,0.26
203302,0.45,0.29
203303,0.55,0.38
203304,0.55,0.36
203305,0.38,0.28
203306,0.3,0.23
203307,0.26,0.19
203308,0.24,0.17
203309,0.23,0.17
203310,0.25,0.21
203311,0.31,0.24
203312,0.39,0.31
203401,0.45,0.26
203402,0.45,0.29
203403,0.55,0.38
203404,0.55,0.36
203405,0.38,0.28
203406,0.3,0.23
203407,0.26,0.19
203408,0.24,0.17
203409,0.23,0.17
203410,0.25,0.21
203411,0.31,0.24
203412,0.39,0.31
203501,0.45,0.26
203502,0.45,0.29
203503,0.55,0.38
203504,0.55,0.36
203505,0.38,0.28
203506,0.3,0.23
203507,0.26,0.19
203508,0.24,0.17
203509,0.23,0.17
203510,0.25,0.21
203511,0.31,0.24
203512,0.39,0.31
203601,0.45,0.26
203602,0.45,0.29
203603,0.55,0.38
203604,0.55,0.36
203605,0.38,0.28
203606,0.3,0.23
203607,0.26,0.19
203608,0.24,0.17
203609,0.23,0.17
203610,0.25,0.21
203611,0.31,0.24
203612,0.39,0.31
203701,0.45,0.26
203702,0.45,0.29
203703,0.55,0.38
203704,0.55,0.36
203705,0.38,0.28
203706,0.3,0.23
203707,0.26,0.19
203708,0.24,0.17
203709,0.23,0.17
203710,0.25,0.21
203711,0.31,0.24
203712,0.39,0.31
203801,0.45,0.26
203802,0.45,0.29
203803,0.55,0.38
203804,0.55,0.36
203805,0.38,0.28
203806,0.3,0.23
203807,0.26,0.19
203808,0.24,0.17
203809,0.23,0.17
203810,0.25,0.21
203811,0.31,0.24
203812,0.39,0.31
203901,0.45,0.26
203902,0.45,0.29
203903,0.55,0.38
203904,0.55,0.36
203905,0.38,0.28
203906,0.3,0.23
203907,0.26,0.19
203908,0.24,0.17
203909,0.23,0.17
203910,0.25,0.21
203911,0.31,0.24
203912,0.39,0.31
204001,0.45,0.26
204002,0.45,0.29
204003,0.55,0.38
204004,0.55,0.36
204005,0.38,0.28
204006,0.3,0.23
204007,0.26,0.19
204008,0.24,0.17
204009,0.23,0.17
204010,0.25,0.21
204011,0.31,0.24
204012,0.39,0.31
204101,0.45,0.26
204102,0.45,0.29
204103,0.55,0.38
204104,0.55,0.36
204105,0.38,0.28
204106,0.3,0.23
204107,0.26,0.19
204108,0.24,0.17
204109,0.23,0.17
