Year-month,hydro_apb2,hydro_apb4,micro_hydro_apb1,micro_hydro_apb2,micro_hydro_apb3,micro_hydro_apb4,micro_hydro_apb5
202501,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202502,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202503,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202504,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
202505,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
202506,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
202507,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
202508,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202509,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202510,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
202511,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
202512,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
202601,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202602,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202603,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202604,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
202605,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
202606,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
202607,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
202608,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202609,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202610,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
202611,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
202612,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
202701,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202702,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202703,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202704,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
202705,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
202706,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
202707,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
202708,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202709,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202710,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
202711,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
202712,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
202801,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202802,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202803,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202804,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
202805,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
202806,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
202807,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
202808,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202809,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202810,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
202811,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
202812,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
202901,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202902,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202903,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
202904,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
202905,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
202906,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
202907,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
202908,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202909,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
202910,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
202911,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
202912,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203001,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203002,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203003,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203004,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203005,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203006,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203007,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203008,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
