Year,Sumatera energy limit (TWh),Kalimantan energy limit (TWh),Lombok energy limit (TWh)
2025,0,0,0
2026,0,0,0
2027,0,0,0
2028,0,0,0
2029,0,0,0
2030,0,0,0
2031,10.4,0,0
2032,13.1,0,0
2033,15.3,0,0
2034,15.3,0,0
2035,15.3,0,1.2
2036,15.3,0,1.2
2037,15.3,0,2.4
2038,15.3,0,2.4
2039,15.3,0,3.1
2040,15.3,16.6,3.1
2041,15.3,66.5,3.6
2042,15.3,66.5,3.6
2043,15.3,116.4,3.6
2044,15.3,133,3.6
2045,15.3,141.3,7.2
2046,15.3,141.3,12
2047,15.3,141.3,16.8
2048,15.3,141.3,21.6
2049,15.3,141.3,26.4
2050,23.6,141.3,35.9
2051,23.6,141.3,36.4
2052,23.6,141.3,36.9
2053,23.6,141.3,37.4
2054,23.6,141.3,37.4
2055,23.6,149.6,37.4
2056,30.7,166.3,39.2
2057,30.7,182.9,39.6
2058,40.1,199.5,39.6
2059,43.1,216.1,39.6
2060,43.1,216.1,39.6
